"","category","name","price","ratings","no_of_reviews"
"100","Luggage","20 Inch Children's Ride On Trolley Luggage, Blue Portable Universal Wheel Luggage Carry On Luggage, Waterproof Unisex Boys Girls Travel Suitcase With Lock, ABS+PU, Pink",NA,"3.5 out of 5 stars","4"
"101","Makeup","Physicians Formula Murumuru Butter Bronzer | Sunkissed Bronzer | Bronzer Face Powder Makeup | Dermatologist Approved | Packaging May Vary","$39.38","4.6 out of 5 stars","28,096"
"102","Makeup","Makeup Revolution, Maxi Reloaded Big Shot Eyeshadow Palette, 45 Shades, 60.8 g","$68.93","4.4 out of 5 stars","427"
"103","Makeup","HEYMKGO Makeup Brush Set, Professional Make Up Brush Set, 15 Pieces with PU Leather Cosmetic Bag, Champagne Gold Makeup Brush Kit, Eyeshadow Makeup Brushes, Kabuki Cosmetic Brush, Make-Up Gift","$70.15","5.0 out of 5 stars","1"
"104","Makeup","Wet N Wild Megaglo Makeup Stick - Blush - 803 Floral Majority - .620ml","$52.76","4.2 out of 5 stars","3,715"
"105","Makeup","NYX Professional Makeup Glitter Primer","$16.25","4.6 out of 5 stars","21,608"
"106","Makeup","e.l.f., Monochromatic Multi Stick, Creamy, Lightweight, Versatile, Luxurious, Adds Shimmer, Easy To Use On The Go, Blends Effortlessly, Sparkling Rose, 0.155 Oz","$52.07","4.3 out of 5 stars","20,794"
"107","Makeup","Disposable Makeup Applicators Kit with Triangle Puff Mixing Palette, Artist Supplies Disposable Mascara Wands, Lip Brushes, Hair Clips Powder Puffs for Face with Storage Box","$29.23","4.7 out of 5 stars","1,051"
"108","Makeup","NYX Professional Makeup Suede Matte Lip Liner - Soft Spoken","$34.21","4.3 out of 5 stars","2,630"
"109","Makeup","Scar Concealer, Tattoo Concealer, Waterproof Makeup, Skin Scar, Dark Spots, Birthmark Concealer(#1)","$110.23","1.0 out of 5 stars","1"
"110","Makeup","NYX Professional Makeup Bare With Me Concealer Serum, Fair 01, 9.6mL","$36.93","4.5 out of 5 stars","14,066"
"111","Makeup","NYX Professional Makeup, Dual-ended Brow Pencil, Defining and Building, Micro Brow Pencil, Shade: Espresso, 0.5 g","$24.72","4.5 out of 5 stars","32,420"
"112","Makeup","Real Techniques Base Flawless Base Set, 200 count","$33.94","4.7 out of 5 stars","5,502"
"113","Makeup","PRIME PROMETICS PrimeEyes Glide Eyeliner for Mature Women – Waterproof, Long-Stay and Mess-Proof – Gel Cream Texture, Discreet Sharpener and Effective Smudger (Sapphire (blue))",NA,"4.0 out of 5 stars","1,347"
"114","Makeup","NYX Professional Makeup Ultimate Utopia Eyeshadow Palette Pressed Powder Eyeshadow 40 Shades Matte Satin Metallic",NA,"4.6 out of 5 stars","2,361"
"115","Makeup","Mehron Clown White Lite Makeup (2 oz)",NA,"4.5 out of 5 stars","1,458"
"116","Makeup","NYX Professional Makeup HD Photogenic Concealer Wand - Green",NA,"4.2 out of 5 stars","36,551"
"117","Makeup","NYX Professional Makeup Matte Bronzer - Medium",NA,"4.5 out of 5 stars","13,496"
"118","Makeup","NYX Professional Makeup Ultimate Shadow Palette - Phoenix",NA,"4.6 out of 5 stars","2,279"
"119","Makeup","L'Oreal Paris Voluminous Makeup Lash Paradise Mascara, Voluptuous Volume, Intense Length, Feathery Soft Full Lashes, No Flaking, No Smudging, No Clumping, Blackest Black, 1 Count, Packaging May Vary",NA,"4.4 out of 5 stars","68,305"
"120","Makeup","NYX PROFESSIONAL MAKEUP Simply Nude, Fairest, 0.11 Ounce",NA,"3.8 out of 5 stars","229"
"121","Makeup","NYX Professional Makeup Wonder Dual-Ended Face Shaping Stick, 02 Universal",NA,"4.4 out of 5 stars","2,777"
"122","Makeup","NYX Professional Makeup Bare With Me Hydrating Jelly Primer",NA,"4.4 out of 5 stars","1,370"
"123","Makeup","Mehron Makeup Clown White Professional Halloween Face Paint Cream Makeup (2.25 oz)",NA,"4.5 out of 5 stars","10,591"
"124","Makeup","NYX PROFESSIONAL MAKEUP Bare With Me Blur, Skin Tint Foundation with Matcha, Glycerin & Niacinamide - Soft Beige",NA,"4.0 out of 5 stars","187"
"125","Makeup","VIOLA HOUSE Highlighter Powder Stick,Fairy Highlighter Patting Powder Hair Body Glitter Bomb,Body Shimmer Highlighter Makeup,Sparkly Natural for Face Body Eyes Collarbones Glow.7g/0.25oz.(Pink)",NA,"4.5 out of 5 stars","9,476"
"126","Makeup","NYX Professional Makeup Precision Brow Pencil - Espresso",NA,"4.6 out of 5 stars","9,735"
"127","Makeup","Real Perfection 16pcs Makeup Brushes Set with 1 Eyebrow Razor Premium Synthetic Foundation Blending Face Powder Eye Shadow Concealer Make Up Brushes Tool Kit",NA,"3.7 out of 5 stars","3,339"
"128","Makeup","NYX Professional Makeup Blurring Pore Filler, Face Primer Stick, Enriched with Vitamin E, Transparent",NA,"4.3 out of 5 stars","1,408"
"129","Makeup","L’Oreal Paris Prime Lab 24 Hour Matte Primer 1 30.0 milliliters",NA,"4.2 out of 5 stars","14,689"
"130","Makeup","NYX Professional Makeup Can't Stop Won't Stop Full Coverage Liquid Foundation - 04 Light Ivory",NA,"4.3 out of 5 stars","7,258"
"131","Makeup","NYX Professional Makeup Born To Glow Liquid Illuminator - Gleam",NA,"4.2 out of 5 stars","4,475"
"132","Makeup","NYX Professional Makeup Lip Lingerie XXL - ON FUEGO 27",NA,"3.9 out of 5 stars","66"
"133","Makeup","20X Magnifying Mirror with Table Stand & Suction Cups, Large 6'' Travel Magnified Mirror 20x Makeup Mirror with High Magnification for Handheld Table Use Wall-Mounted, Magnifying Mirror with Tweezers",NA,"4.4 out of 5 stars","11,685"
"134","Makeup","L'Oréal Paris Infallible More Than Concealer 326 Vanilla",NA,"4.3 out of 5 stars","1,219"
"135","Makeup","NYX Professional Makeup Honey Dew Me Up Primer, 22 ml",NA,"4.5 out of 5 stars","429"
"136","Makeup","NYX Professional Makeup Lip Lingerie XXL - ON FUEGO 27","$43.90","4.2 out of 5 stars","4,475"
"137","Makeup","MAGEFY Makeup Brushes, 22 Pcs Professional Premium Synthetic Makeup Brush Set with Case, Foundation Eyeshadow Brush Travel Make up Brushes Set (Blackgold)","$98.27","4.6 out of 5 stars","82"
"138","Makeup","Revlon ColorStay Makeup with Time Release Technology for Combination/Oily Med.","$89.81","4.5 out of 5 stars","38"
"139","Makeup","NYX Professional Makeup Born To Glow Liquid Illuminator - Gleam","$47.15","4.3 out of 5 stars","7,258"
